"","CowCode","ccode","StateAbb","StateNme"
"1",2,1,"USA","United States of America"
"2",20,2,"CAN","Canada"
"3",40,3,"CUB","Cuba"
"5",41,4,"HAI","Haiti"
"7",42,5,"DOM","Dominican Republic"
"9",91,6,"HON","Honduras"
"10",92,7,"SAL","El Salvador"
"11",93,8,"NIC","Nicaragua"
"12",94,9,"COS","Costa Rica"
"13",100,10,"COL","Colombia"
"14",101,11,"VEN","Venezuela"
"15",110,12,"GUY","Guyana"
"16",115,13,"SUR","Suriname"
"17",130,14,"ECU","Ecuador"
"18",135,15,"PER","Peru"
"19",140,16,"BRA","Brazil"
"20",155,17,"CHL","Chile"
"21",160,18,"ARG","Argentina"
"22",200,19,"UKG","United Kingdom"
"23",210,20,"NTH","Netherlands"
"25",211,21,"BEL","Belgium"
"27",220,22,"FRN","France"
"29",230,23,"SPN","Spain"
"30",235,24,"POR","Portugal"
"31",255,25,"GMY","Germany"
"33",290,26,"POL","Poland"
"35",310,27,"HUN","Hungary"
"36",325,28,"ITA","Italy"
"37",339,29,"ALB","Albania"
"39",344,30,"CRO","Croatia"
"40",345,31,"YUG","Yugoslavia"
"42",346,32,"BOS","Bosnia and Herzegovina"
"43",349,33,"SLV","Slovenia"
"44",350,34,"GRC","Greece"
"46",352,35,"CYP","Cyprus"
"47",355,36,"BUL","Bulgaria"
"48",359,37,"MLD","Moldova"
"49",360,38,"ROM","Romania"
"50",365,39,"RUS","Russia"
"51",367,40,"LAT","Latvia"
"53",368,41,"LIT","Lithuania"
"55",369,42,"UKR","Ukraine"
"56",370,43,"BLR","Belarus"
"57",371,44,"ARM","Armenia"
"58",372,45,"GRG","Georgia"
"59",373,46,"AZE","Azerbaijan"
"60",385,47,"NOR","Norway"
"62",390,48,"DEN","Denmark"
"64",420,49,"GAM","Gambia"
"65",432,50,"MLI","Mali"
"66",433,51,"SEN","Senegal"
"67",434,52,"BEN","Benin"
"68",435,53,"MAA","Mauritania"
"69",436,54,"NIR","Niger"
"70",437,55,"CDI","Ivory Coast"
"71",438,56,"GUI","Guinea"
"72",450,57,"LBR","Liberia"
"73",451,58,"SIE","Sierra Leone"
"74",452,59,"GHA","Ghana"
"75",461,60,"TOG","Togo"
"76",471,61,"CAO","Cameroon"
"77",475,62,"NIG","Nigeria"
"78",482,63,"CEN","Central African Republic"
"79",483,64,"CHA","Chad"
"80",484,65,"CON","Congo"
"81",490,66,"DRC","Democratic Republic of the Congo"
"82",500,67,"UGA","Uganda"
"83",501,68,"KEN","Kenya"
"84",510,69,"TAZ","Tanzania"
"85",516,70,"BUI","Burundi"
"86",517,71,"RWA","Rwanda"
"87",520,72,"SOM","Somalia"
"88",522,73,"DJI","Djibouti"
"89",530,74,"ETH","Ethiopia"
"91",531,75,"ERI","Eritrea"
"92",540,76,"ANG","Angola"
"93",541,77,"MZM","Mozambique"
"94",551,78,"ZAM","Zambia"
"95",552,79,"ZIM","Zimbabwe"
"96",560,80,"SAF","South Africa"
"97",565,81,"NAM","Namibia"
"98",570,82,"LES","Lesotho"
"99",571,83,"BOT","Botswana"
"100",572,84,"SWA","Swaziland"
"101",600,85,"MOR","Morocco"
"103",615,86,"ALG","Algeria"
"104",620,87,"LIB","Libya"
"105",625,88,"SUD","Sudan"
"106",630,89,"IRN","Iran"
"107",640,90,"TUR","Turkey"
"108",645,91,"IRQ","Iraq"
"109",651,92,"EGY","Egypt"
"111",652,93,"SYR","Syria"
"113",660,94,"LEB","Lebanon"
"114",663,95,"JOR","Jordan"
"115",666,96,"ISR","Israel"
"116",670,97,"SAU","Saudi Arabia"
"117",679,98,"YEM","Yemen"
"118",690,99,"KUW","Kuwait"
"119",694,100,"QAT","Qatar"
"120",700,101,"AFG","Afghanistan"
"121",701,102,"TKM","Turkmenistan"
"122",702,103,"TAJ","Tajikistan"
"123",703,104,"KYR","Kyrgyzstan"
"124",704,105,"UZB","Uzbekistan"
"125",710,106,"CHN","China"
"126",712,107,"MON","Mongolia"
"127",731,108,"PRK","North Korea"
"128",732,109,"ROK","South Korea"
"129",740,110,"JPN","Japan"
"131",750,111,"IND","India"
"132",760,112,"BHU","Bhutan"
"133",770,113,"PAK","Pakistan"
"134",771,114,"BNG","Bangladesh"
"135",775,115,"MYA","Myanmar"
"136",790,116,"NEP","Nepal"
"137",800,117,"THI","Thailand"
"138",811,118,"CAM","Cambodia"
"139",816,119,"DRV","Vietnam"
"140",820,120,"MAL","Malaysia"
"141",830,121,"SIN","Singapore"
"142",840,122,"PHI","Philippines"
"143",850,123,"INS","Indonesia"
"144",900,124,"AUL","Australia"
"145",910,125,"PNG","Papua New Guinea"
