ccode1,ccode2,anyRival
2,40,1
2,365,1
2,710,1
40,2,1
100,101,1
101,100,1
101,110,1
110,101,1
130,135,1
135,130,1
145,155,1
155,145,1
160,200,1
200,160,1
339,350,1
344,345,1
344,346,1
345,344,1
345,346,1
346,344,1
346,345,1
350,339,1
350,640,1
365,2,1
371,373,1
373,371,1
404,433,1
411,481,1
433,404,1
433,435,1
435,433,1
452,461,1
461,452,1
471,475,1
475,471,1
481,411,1
483,620,1
483,625,1
490,500,1
490,517,1
490,540,1
500,490,1
500,501,1
500,517,1
500,625,1
501,500,1
501,625,1
510,553,1
517,490,1
517,500,1
520,530,1
522,531,1
530,520,1
530,531,1
530,625,1
531,522,1
531,530,1
531,625,1
540,490,1
553,510,1
600,615,1
615,600,1
620,483,1
625,483,1
625,500,1
625,501,1
625,530,1
625,531,1
625,651,1
630,645,1
630,651,1
630,666,1
630,670,1
630,700,1
640,350,1
640,652,1
645,630,1
645,651,1
645,663,1
645,666,1
645,670,1
645,690,1
651,625,1
651,630,1
651,645,1
651,666,1
652,640,1
652,663,1
652,666,1
663,645,1
663,652,1
663,666,1
666,630,1
666,645,1
666,651,1
666,652,1
666,663,1
670,630,1
670,645,1
670,679,1
679,670,1
690,645,1
692,694,1
694,692,1
700,630,1
700,750,1
704,705,1
705,704,1
710,2,1
710,713,1
710,740,1
710,750,1
713,710,1
731,732,1
732,731,1
740,710,1
750,700,1
750,710,1
750,770,1
770,750,1
820,830,1
830,820,1
